Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Vanuatu,VUT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,1.75568705810022,East Asia & Pacific,Lower middle income
Vanuatu,VUT,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,2.20066092837381,East Asia & Pacific,Lower middle income
Vanuatu,VUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,18.79999924,East Asia & Pacific,Lower middle income
Vanuatu,VUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,59.9642637565324,East Asia & Pacific,Lower middle income
"Venezuela, RB",VEN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,7.9330889563685,Latin America & Caribbean,Lower middle income
"Venezuela, RB",VEN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,25.809822206123,Latin America & Caribbean,Lower middle income
"Venezuela, RB",VEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,57.0,Latin America & Caribbean,Lower middle income
"Venezuela, RB",VEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,100.905474597326,Latin America & Caribbean,Lower middle income
Viet Nam,VNM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,6.54510757019409,East Asia & Pacific,Upper middle income
Viet Nam,VNM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,7.33568930694685,East Asia & Pacific,Upper middle income
Viet Nam,VNM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,41.0,East Asia & Pacific,Upper middle income
Viet Nam,VNM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,148.504309214861,East Asia & Pacific,Upper middle income
Virgin Islands (U.S.),VIR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,8.9216560946676,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,74.6085745938686,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,50.07,Latin America & Caribbean,High income
West Bank and Gaza,PSE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,5.32491583787791,Middle East & North Africa,Lower middle income
West Bank and Gaza,PSE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,9.12882182993114,Middle East & North Africa,Lower middle income
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,53.6651997924171,Middle East & North Africa,Lower middle income
West Bank and Gaza,PSE,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2014,47.5296,Middle East & North Africa,Lower middle income
West Bank and Gaza,PSE,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2014,59.6296,Middle East & North Africa,Lower middle income
West Bank and Gaza,PSE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,72.4102229180943,Middle East & North Africa,Lower middle income
"Yemen, Rep.",YEM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,1.12484789327073,Middle East & North Africa,Low income
"Yemen, Rep.",YEM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,3.86616837669462,Middle East & North Africa,Low income
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,22.54999924,Middle East & North Africa,Low income
"Yemen, Rep.",YEM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,56.5732322792042,Middle East & North Africa,Low income
Zambia,ZMB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,0.129100933199499,Sub-Saharan Africa,Lower middle income
Zambia,ZMB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,0.719834743759403,Sub-Saharan Africa,Lower middle income
Zambia,ZMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,6.5,Sub-Saharan Africa,Lower middle income
Zambia,ZMB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,63.6342658198343,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2014,1.0715151211425,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,2.31904465847593,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,16.3647399572904,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2014,14.5812,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2014,18.3016,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,83.0460608477621,Sub-Saharan Africa,Lower middle income
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.0208886536333134,Middle East & North Africa,Low income
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,0.325138233998085,Middle East & North Africa,Low income
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,8.260000229,Middle East & North Africa,Low income
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,58.256016446556,Middle East & North Africa,Low income
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,8.37878005900715,Europe & Central Asia,Upper middle income
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,7.82155168369079,Europe & Central Asia,Upper middle income
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,56.90000153,Europe & Central Asia,Upper middle income
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,117.329657576402,Europe & Central Asia,Upper middle income
Algeria,DZA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,5.67060147059702,Middle East & North Africa,Upper middle income
Algeria,DZA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,8.16499364597719,Middle East & North Africa,Upper middle income
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,38.20000076,Middle East & North Africa,Upper middle income
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,108.016371207167,Middle East & North Africa,Upper middle income
American Samoa,ASM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,18.9114565603843,East Asia & Pacific,High income
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,42.5277800870119,Europe & Central Asia,High income
Andorra,AND,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,53.8282483997007,Europe & Central Asia,High income
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,87.90000153,Europe & Central Asia,High income
